Line #,Key,en Version,hy Translation
1,hy.activerecord.models.user,User,User
2,hy.activerecord.models.story,Story,Story
3,hy.activerecord.models.section,Section,Section
4,hy.activerecord.models.medium,Full-Screen Media Slideshow,Full-Screen Media Slideshow
5,hy.activerecord.models.content,Text,Text
6,hy.activerecord.models.message,Message,Message
7,hy.activerecord.models.slideshow,Image Slideshow,Image Slideshow
8,hy.activerecord.models.embed_medium,Embeddable Online Media,Embeddable Online Media
9,hy.activerecord.models.youtube,YouTube Video,YouTube Video
10,hy.activerecord.models.language,Language,Language
11,hy.activerecord.models.category,Category,Category
12,hy.activerecord.models.page,Text for Pages,Text for Pages
13,hy.activerecord.models.theme,Theme,Theme
14,hy.activerecord.models.story_type,Story Type,Story Type
15,hy.activerecord.models.author,Author,Author
16,hy.activerecord.attributes.user.email,Email Address,Email Address
17,hy.activerecord.attributes.user.password,Password,Password
18,hy.activerecord.attributes.user.password_confirmation,Password Confirmation,Password Confirmation
19,hy.activerecord.attributes.user.role,Role,Role
20,hy.activerecord.attributes.user.remember_me,Remember Me,Remember Me
21,hy.activerecord.attributes.user.default_story_locale,Default Language for Your Stories,Default Language for Your Stories
22,hy.activerecord.attributes.user.about,Summary of You,Summary of You
23,hy.activerecord.attributes.user.local_avatar,Avatar,Avatar
24,hy.activerecord.attributes.user.nickname,Nickname,Nickname
25,hy.activerecord.attributes.user.sign_in_count,Number of Times Logged In,Number of Times Logged In
26,hy.activerecord.attributes.user.created_at,Date Created,Date Created
27,hy.activerecord.attributes.user.current_sign_in_at,Date Last Logged In,Date Last Logged In
28,hy.activerecord.attributes.author.avatar,Avatar,Avatar
29,hy.activerecord.attributes.author_translation.name,Name,Name
30,hy.activerecord.attributes.author_translation.about,About,About
31,hy.activerecord.attributes.author_translation.permalink,Permalink,Permalink
32,hy.activerecord.attributes.story.user_id,Story Author,Story Author
33,hy.activerecord.attributes.story.user_ids,Editors,Editors
34,hy.activerecord.attributes.story.publish_home_page,"Once published, make your story visible on the homepage?","Once published, make your story visible on the homepage?"
35,hy.activerecord.attributes.story.template_id,Template,Template
36,hy.activerecord.attributes.story.thumbnail,Thumbnail,Thumbnail
37,hy.activerecord.attributes.story.story_locale,Story Language,Story Language
