Line #,Key,en Version,az Translation
1,az.activerecord.models.user,User,User
2,az.activerecord.models.story,Story,Story
3,az.activerecord.models.section,Section,Section
4,az.activerecord.models.medium,Full-Screen Media Slideshow,Full-Screen Media Slideshow
5,az.activerecord.models.content,Text,Text
6,az.activerecord.models.message,Message,Message
7,az.activerecord.models.slideshow,Image Slideshow,Image Slideshow
8,az.activerecord.models.embed_medium,Embeddable Online Media,Embeddable Online Media
9,az.activerecord.models.youtube,YouTube Video,YouTube Video
10,az.activerecord.models.language,Language,Language
11,az.activerecord.models.category,Category,Category
12,az.activerecord.models.page,Text for Pages,Text for Pages
13,az.activerecord.models.theme,Theme,Theme
14,az.activerecord.models.story_type,Story Type,Story Type
15,az.activerecord.models.author,Author,Author
16,az.activerecord.attributes.user.email,Email Address,Email Address
17,az.activerecord.attributes.user.password,Password,Password
18,az.activerecord.attributes.user.password_confirmation,Password Confirmation,Password Confirmation
19,az.activerecord.attributes.user.role,Role,Role
20,az.activerecord.attributes.user.remember_me,Remember Me,Remember Me
21,az.activerecord.attributes.user.default_story_locale,Default Language for Your Stories,Default Language for Your Stories
22,az.activerecord.attributes.user.about,Summary of You,Summary of You
23,az.activerecord.attributes.user.local_avatar,Avatar,Avatar
24,az.activerecord.attributes.user.nickname,Nickname,Nickname
25,az.activerecord.attributes.user.sign_in_count,Number of Times Logged In,Number of Times Logged In
26,az.activerecord.attributes.user.created_at,Date Created,Date Created
27,az.activerecord.attributes.user.current_sign_in_at,Date Last Logged In,Date Last Logged In
28,az.activerecord.attributes.author.avatar,Avatar,Avatar
29,az.activerecord.attributes.author_translation.name,Name,Name
30,az.activerecord.attributes.author_translation.about,About,About
31,az.activerecord.attributes.author_translation.permalink,Permalink,Permalink
32,az.activerecord.attributes.story.user_id,Story Author,Story Author
33,az.activerecord.attributes.story.user_ids,Editors,Editors
34,az.activerecord.attributes.story.publish_home_page,"Once published, make your story visible on the homepage?","Once published, make your story visible on the homepage?"
35,az.activerecord.attributes.story.template_id,Template,Template
36,az.activerecord.attributes.story.thumbnail,Thumbnail,Thumbnail
37,az.activerecord.attributes.story.story_locale,Story Language,Story Language
38,az.activerecord.attributes.story.tag_list,Tags,Tags
39,az.activerecord.attributes.story.categories,Categories,Categories
40,az.activerecord.attributes.story.story_type,Type,Type
41,az.activerecord.attributes.story.in_theme_slider,Show Story in Theme Slider,Show Story in Theme Slider
42,az.activerecord.attributes.story_translation.title,Story Title,Story Title
43,az.activerecord.attributes.story_translation.author,Author(s),Author(s)
44,az.activerecord.attributes.story_translation.media_author,Photo and Video Author(s),Photo and Video Author(s)
45,az.activerecord.attributes.story_translation.translation_author,Translation Author(s),Translation Author(s)
46,az.activerecord.attributes.story_translation.published,Publish?,Publish?
47,az.activerecord.attributes.story_translation.published_at,Was Published,Was Published
48,az.activerecord.attributes.story_translation.about,Story Summary,Story Summary
49,az.activerecord.attributes.story_translation.permalink,Story URL,Story URL
50,az.activerecord.attributes.story_translation.permalink_staging,Story URL,Story URL
51,az.activerecord.attributes.section.has_marker,Navigation Shortcut,Navigation Shortcut
52,az.activerecord.attributes.section.type_id,Type,Type
53,az.activerecord.attributes.section.sort_order,Sort Order,Sort Order
54,az.activerecord.attributes.section_translation.title,Title,Title
55,az.activerecord.attributes.section_translation.audio,Audio Track,Audio Track
56,az.activerecord.attributes.section_translation.delete_audio,Delete the Audio Track?,Delete the Audio Track?
57,az.activerecord.attributes.content.title,Title,Title
58,az.activerecord.attributes.content.caption,Heading,Heading
59,az.activerecord.attributes.content.sub_caption,Subheading,Subheading
60,az.activerecord.attributes.content.content,Text,Text
61,az.activerecord.attributes.medium.media_type,Media Type,Media Type
62,az.activerecord.attributes.medium.image,Image,Image
63,az.activerecord.attributes.medium.video,Video,Video
64,az.activerecord.attributes.medium.video_loop,Loop Video,Loop Video
65,az.activerecord.attributes.medium_translation.title,Title,Title
66,az.activerecord.attributes.medium_translation.caption,Caption,Caption
67,az.activerecord.attributes.medium_translation.caption_align,Caption Alignment,Caption Alignment
68,az.activerecord.attributes.medium_translation.infobox_type,Caption Position,Caption Position
69,az.activerecord.attributes.medium_translation.summary,Summary,Summary
70,az.activerecord.attributes.medium_translation.source,Source,Source
71,az.activerecord.attributes.medium_translation.image,Image,Image
72,az.activerecord.attributes.medium_translation.video,Video,Video
73,az.activerecord.attributes.slideshow.title,Title,Title
74,az.activerecord.attributes.slideshow.caption,Heading,Heading
75,az.activerecord.attributes.embed_medium.title,Title,Title
76,az.activerecord.attributes.embed_medium.url,Url to Online Media,Url to Online Media
77,az.activerecord.attributes.youtube.fullscreen,Fullscreen,Fullscreen
78,az.activerecord.attributes.youtube.loop,Loop,Loop
79,az.activerecord.attributes.youtube.info,Show Video Title Bar,Show Video Title Bar
80,az.activerecord.attributes.youtube_translation.title,Title,Title
81,az.activerecord.attributes.youtube_translation.url,Url to YouTube Video,Url to YouTube Video
82,az.activerecord.attributes.youtube_translation.menu_lang,Player Language,Player Language
83,az.activerecord.attributes.youtube_translation.cc,Show Caption/Subtitle,Show Caption/Subtitle
84,az.activerecord.attributes.youtube_translation.cc_lang,Subtitle Language,Subtitle Language
85,az.activerecord.attributes.language.locale,Locale,Locale
86,az.activerecord.attributes.language.name,Language Name,Language Name
87,az.activerecord.attributes.category_translation.name,Name,Name
88,az.activerecord.attributes.page.name,Unique name for content (do not change!),Unique name for content (do not change!)
89,az.activerecord.attributes.page_translation.title,Title to show above content,Title to show above content
90,az.activerecord.attributes.page_translation.content,Content,Content
91,az.activerecord.attributes.theme.is_published,Publish?,Publish?
92,az.activerecord.attributes.theme.published_at,Date Published,Date Published
93,az.activerecord.attributes.theme.show_home_page,Show this theme on the home page?,Show this theme on the home page?
94,az.activerecord.attributes.theme_translation.name,Name,Name
95,az.activerecord.attributes.theme_translation.edition,Edition,Edition
96,az.activerecord.attributes.theme_translation.description,Description,Description
97,az.activerecord.attributes.theme_translation.permalink,URL,URL
98,az.activerecord.attributes.story_type.sort_order,Sort Order,Sort Order
99,az.activerecord.attributes.story_type_translation.name,Name,Name
