Line #,Key,en Version,ka Translation
1,ka.activerecord.models.user,User,მომხმარებელი
2,ka.activerecord.models.story,Story,ამბავი
3,ka.activerecord.models.section,Section,სექცია
4,ka.activerecord.models.medium,Full-Screen Media Slideshow,მთელ ეკრანზე გაშლილი ფოტო/ვიდეო სლაიდშოუ
5,ka.activerecord.models.content,Text,ტექსტი
6,ka.activerecord.models.message,Message,შეტყობინება
7,ka.activerecord.models.slideshow,Image Slideshow,ფოტო სლაიდშოუ
8,ka.activerecord.models.embed_medium,Embeddable Online Media,ჩასასმელი ონლაინ აუდიო/ვიდეო
9,ka.activerecord.models.youtube,YouTube Video,YouTube Video
10,ka.activerecord.models.language,Language,ენა
11,ka.activerecord.models.category,Category,კატეგორია
12,ka.activerecord.models.page,Text for Pages,ტექსტი გვერდებისთვის
13,ka.activerecord.models.theme,Theme,Theme
14,ka.activerecord.models.story_type,Story Type,Story Type
15,ka.activerecord.models.author,Author,Author
16,ka.activerecord.attributes.user.email,Email Address,ელ. ფოსტა
17,ka.activerecord.attributes.user.password,Password,პაროლი
18,ka.activerecord.attributes.user.password_confirmation,Password Confirmation,გაიმეორეთ პაროლი
19,ka.activerecord.attributes.user.role,Role,როლი
20,ka.activerecord.attributes.user.remember_me,Remember Me,დამიმახსოვრე
21,ka.activerecord.attributes.user.default_story_locale,Default Language for Your Stories,თქვენი ამბის ავტომატური ენა
22,ka.activerecord.attributes.user.about,Summary of You,თქვენ შესახებ
23,ka.activerecord.attributes.user.local_avatar,Avatar,პროფილის სურათი
24,ka.activerecord.attributes.user.nickname,Nickname,მომხმარებლის სახელი
25,ka.activerecord.attributes.user.sign_in_count,Number of Times Logged In,Number of Times Logged In
26,ka.activerecord.attributes.user.created_at,Date Created,Date Created
27,ka.activerecord.attributes.user.current_sign_in_at,Date Last Logged In,Date Last Logged In
28,ka.activerecord.attributes.author.avatar,Avatar,პროფილის სურათი
29,ka.activerecord.attributes.author_translation.name,Name,Name
30,ka.activerecord.attributes.author_translation.about,About,About
31,ka.activerecord.attributes.author_translation.permalink,Permalink,Permalink
32,ka.activerecord.attributes.story.user_id,Story Author,Story Author
33,ka.activerecord.attributes.story.user_ids,Editors,ამბის რედაქტორები
34,ka.activerecord.attributes.story.publish_home_page,"Once published, make your story visible on the homepage?","გამოქვეყნების შემდეგ, გსურთ, თქვენი ამბავი გამოჩნდეს მთავარ გვერდზე?"
35,ka.activerecord.attributes.story.template_id,Template,შაბლონი
36,ka.activerecord.attributes.story.thumbnail,Thumbnail,ესკიზი
37,ka.activerecord.attributes.story.story_locale,Story Language,ამბის ენა
38,ka.activerecord.attributes.story.tag_list,Tags,თეგები
39,ka.activerecord.attributes.story.categories,Categories,კატეგორიები
40,ka.activerecord.attributes.story.story_type,Type,ტიპი
41,ka.activerecord.attributes.story.in_theme_slider,Show Story in Theme Slider,Show Story in Theme Slider
42,ka.activerecord.attributes.story_translation.title,Story Title,ამბის სათაური
43,ka.activerecord.attributes.story_translation.author,Author(s),ავტორ(ებ)ი
44,ka.activerecord.attributes.story_translation.media_author,Photo and Video Author(s),ფოტოსა და ვიდეოს ავტორ(ებ)ი
45,ka.activerecord.attributes.story_translation.translation_author,Translation Author(s),Translation Author(s)
46,ka.activerecord.attributes.story_translation.published,Publish?,გამოქვეყნება
47,ka.activerecord.attributes.story_translation.published_at,Was Published,გამოქვეყნებულია
48,ka.activerecord.attributes.story_translation.about,Story Summary,ამბის მოკლე შინაარსი
49,ka.activerecord.attributes.story_translation.permalink,Story URL,ამბის ბმული
50,ka.activerecord.attributes.story_translation.permalink_staging,Story URL,ამბის ბმული
51,ka.activerecord.attributes.section.has_marker,Navigation Shortcut,სექციის გამოყოფა
52,ka.activerecord.attributes.section.type_id,Type,ტიპი
53,ka.activerecord.attributes.section.sort_order,Sort Order,დალაგება
54,ka.activerecord.attributes.section_translation.title,Title,სათაური
55,ka.activerecord.attributes.section_translation.audio,Audio Track,აუდიო ფაილი
56,ka.activerecord.attributes.section_translation.delete_audio,Delete the Audio Track?,აუდიო ფაილის წაშლა?
57,ka.activerecord.attributes.content.title,Title,სათაური
58,ka.activerecord.attributes.content.caption,Heading,ტექსტის სათაური
59,ka.activerecord.attributes.content.sub_caption,Subheading,ტექსტის ქვესათაური
60,ka.activerecord.attributes.content.content,Text,ტექსტი
61,ka.activerecord.attributes.medium.media_type,Media Type,მედია ტიპი
62,ka.activerecord.attributes.medium.image,Image,სურათი
63,ka.activerecord.attributes.medium.video,Video,ვიდეო
64,ka.activerecord.attributes.medium.video_loop,Loop Video,ვიდეოს გამეორება
65,ka.activerecord.attributes.medium_translation.title,Title,სათაური
66,ka.activerecord.attributes.medium_translation.caption,Caption,წარწერა
67,ka.activerecord.attributes.medium_translation.caption_align,Caption Alignment,წარწერის მდებარეობა
68,ka.activerecord.attributes.medium_translation.infobox_type,Caption Position,Caption Position
69,ka.activerecord.attributes.medium_translation.summary,Summary,მოკლე შინაარსი
70,ka.activerecord.attributes.medium_translation.source,Source,წყარო
71,ka.activerecord.attributes.medium_translation.image,Image,სურათი
72,ka.activerecord.attributes.medium_translation.video,Video,ვიდეო
73,ka.activerecord.attributes.slideshow.title,Title,სათაური
74,ka.activerecord.attributes.slideshow.caption,Heading,ფოტოს წარწერა
75,ka.activerecord.attributes.embed_medium.title,Title,სათაური
76,ka.activerecord.attributes.embed_medium.url,Url to Online Media,ონლაინ აუდიოს/ვიდეოს ბმული
77,ka.activerecord.attributes.youtube.fullscreen,Fullscreen,Fullscreen
78,ka.activerecord.attributes.youtube.loop,Loop,Loop
79,ka.activerecord.attributes.youtube.info,Show Video Title Bar,Show Video Title Bar
80,ka.activerecord.attributes.youtube_translation.title,Title,Title
81,ka.activerecord.attributes.youtube_translation.url,Url to YouTube Video,Url to YouTube Video
82,ka.activerecord.attributes.youtube_translation.menu_lang,Player Language,Player Language
83,ka.activerecord.attributes.youtube_translation.cc,Show Caption/Subtitle,Show Caption/Subtitle
84,ka.activerecord.attributes.youtube_translation.cc_lang,Subtitle Language,Subtitle Language
85,ka.activerecord.attributes.language.locale,Locale,ენის აღმნიშვნელი
86,ka.activerecord.attributes.language.name,Language Name,ენა
87,ka.activerecord.attributes.category_translation.name,Name,სახელი
88,ka.activerecord.attributes.page.name,Unique name for content (do not change!),კონტენტის უნიკალური სახელი (არ შეცვალოთ!)
89,ka.activerecord.attributes.page_translation.title,Title to show above content,"სათაური, რომელიც გამოჩნდება კონტენტის ზემოთ"
90,ka.activerecord.attributes.page_translation.content,Content,კონტენტი
91,ka.activerecord.attributes.theme.is_published,Publish?,Publish?
92,ka.activerecord.attributes.theme.published_at,Date Published,Date Published
93,ka.activerecord.attributes.theme.show_home_page,Show this theme on the home page?,Show this theme on the home page?
94,ka.activerecord.attributes.theme_translation.name,Name,Name
95,ka.activerecord.attributes.theme_translation.edition,Edition,Edition
96,ka.activerecord.attributes.theme_translation.description,Description,Description
97,ka.activerecord.attributes.theme_translation.permalink,URL,URL
98,ka.activerecord.attributes.story_type.sort_order,Sort Order,Sort Order
99,ka.activerecord.attributes.story_type_translation.name,Name,Name
100,ka.activerecord.attributes.story_type_translation.permalink,URL,URL
101,ka.activerecord.errors.messages.required_field,is a required field.,სავალდებულო ველი
102,ka.activerecord.errors.messages.already_exists,already exists in the database.,უკვე არსებობს მონაცემთა ბაზაში
103,ka.activerecord.errors.messages.story_authors,must have at least one person selected.,must have at least one person selected.
104,ka.mailer.closing,"Sincerely,","პატივისცემით,"
105,ka.mailer.signature,The Chai Khana Team,“Chai Khanaს” გუნდი
106,ka.mailer.unsubscribe,Click here to change your notification settings,დააჭირეთ და შეცვალეთ შეტყობინებების პარამეტრები
107,ka.mailer.contact.contact_form.subject,Chai Khana Contact Form,“Chai Khanaს” საკონტაქტო ფორმა
108,ka.mailer.notification.new_user.subject,Welcome to Chai Khana!,კეთილი იყოს თქვენი მობრძანება “სთორიბილდერზე!”
109,ka.mailer.notification.new_user.message,"Thank you for becoming a member of Chai Khana. We look forward to exploring the stories you build!

When you have a chance, please visit your settings page so you can update your avatar, nickname, personal URL, and a summary about yourself: [settings_link].

You can manage when you would like to receive email notifications from Chai Khana by going to the notifications page: [notifications_link]. ","გმადლობთ, რომ გახდით “Chai Khanaს” წევრი. ჩვენ გვსურს, გავიგოთ უფრო მეტი თქვენი ამბების შესახებ!

როცა დრო გექნებათ, გთხოვთ, ეწვიოთ პარამეტრების გვერდს, რათა შეიყვანოთ ინფორმაცია თქვენ შესახებ, შეცვალოთ პროფილის სურათი, სახელი და პირადი ბმულიი: [settings_link].

თქვენ შეიგიძლიათ განსაზღვროთ, როდის გსურთ “Chai Khanaდან” შეტყობინებების მიღება, ამისათვის ეწვიეთ შეტყობინებების გვერდს: [notifications_link]."
110,ka.mailer.notification.published_story.subject,New stories have been published on Chai Khana!,“სთორიბილდერზე” გამოქვეყნდა ახალი ამბავი!
111,ka.mailer.notification.published_story.message,The following stories you have expressed interest in were recently published:,"ამბები, რომლითაც თქვენ დაინტერესდით, უკვე გამოქვეყნებულია:"
112,ka.mailer.notification.story_comment.subject,Someone has posted a comment on your story on Chai Khana!,ვიღაცამ დატოვა კომენტარი “სთორიბილდერზე” თქვენ მიერ გამოქვეყნებულ ამბავზე!
113,ka.mailer.notification.story_comment.message,The following stories have recently received a comment:,ამ ამბებზე ცოტა ხნის წინ დატოვეს კომენტარები:
114,ka.mailer.notification.story_comment.comment,1 Comment,1 კომენტარი
115,ka.mailer.notification.story_comment.comments,%{num} Comments,%{num} კომენტარი
116,ka.mailer.notification.story_collaboration.subject,You have been invited to collaborate on a story on Chai Khana!,"თქვენ მოწვეული ხართ, რათა მონაწილეობა მიიღოთ “სთორიბილდერზე” ამბის შექმნაში!"
