type,image,url,sort
1,mymedia-logo.jpg,http://mymedia.org.ua/,1
1,uk_gov.png,http://www.gov.uk/world/georgia,2
2,women-peacenet.png,http://women-peace.net/,1
2,bbc_azer.png,http://www.bbc.com/azeri,2
2,comunicatoryi.png,http://1tv.ge/ge/tvshows/view/328.html,3
2,civil.net.png,http://civilnet.am,4
2,mediage.png,http://media.ge,5
2,unmuns.png,http://www.aravot.am,6
2,netgazeti.png,http://netgazeti.ge,7
2,medialab.png,http://medialab.am,8
2,u1.png,http://www.a1plus.am,9
2,onge.png,http://on.ge,10
2,region_network.png,http://reporter.ge,11
2,radioliberty_azer.png,http://www.azadliq.org,12
2,globalvoices.png,https://globalvoices.org,13
