COUNTRY,1,Armenia
COUNTRY,2,Azerbaijan
COUNTRY,3,Georgia
RESPONSE,0,Non-response
RESPONSE,1,Response
STRATUM,1,Capital
STRATUM,2,Urban
STRATUM,3,Rural
RESPSEX,-7,Legal skip
RESPSEX,-5,No such member
RESPSEX,-3,Interviewer error
RESPSEX,1,Male
RESPSEX,2,Female
RESPAGE,-7,Legal skip
RESPAGE,-5,No such member
RESPAGE,-3,Interviewer error
ACTPBLM,-9,Break off
ACTPBLM,-7,Legal skip
ACTPBLM,-5,Not applicable
ACTPBLM,-3,Interviewer error
ACTPBLM,-2,Refuse to answer
ACTPBLM,-1,Don't know
ACTPBLM,0,No
ACTPBLM,1,Yes
ACTMEDIA,-9,Break off
ACTMEDIA,-7,Legal skip
ACTMEDIA,-5,Not applicable
ACTMEDIA,-3,Interviewer error
ACTMEDIA,-2,Refuse to answer
ACTMEDIA,-1,Don't know
ACTMEDIA,0,No
ACTMEDIA,1,Yes
ACTINTNT,-9,Break off
ACTINTNT,-7,Legal skip
ACTINTNT,-5,Not applicable
ACTINTNT,-3,Interviewer error
ACTINTNT,-2,Refuse to answer
ACTINTNT,-1,Don't know
ACTINTNT,0,No
ACTINTNT,1,Yes
ACTREST,-9,Break off
ACTREST,-7,Legal skip
ACTREST,-5,Not applicable
ACTREST,-3,Interviewer error
ACTREST,-2,Refuse to answer
ACTREST,-1,Don't know
ACTREST,0,No
ACTREST,1,Yes
ACTCHAR,-9,Break off
ACTCHAR,-7,Legal skip
ACTCHAR,-5,Not applicable
ACTCHAR,-3,Interviewer error
ACTCHAR,-2,Refuse to answer
ACTCHAR,-1,Don't know
ACTCHAR,0,No
ACTCHAR,1,Yes
ACTVLNT,-9,Break off
ACTVLNT,-7,Legal skip
ACTVLNT,-5,Not applicable
ACTVLNT,-3,Interviewer error
ACTVLNT,-2,Refuse to answer
ACTVLNT,-1,Don't know
ACTVLNT,0,No
ACTVLNT,1,Yes
ACTDNCH,-9,Break off
ACTDNCH,-7,Legal skip
ACTDNCH,-5,Not applicable
ACTDNCH,-3,Interviewer error
ACTDNCH,-2,Refuse to answer
ACTDNCH,-1,Don't know
ACTDNCH,0,No
ACTDNCH,1,Yes
ACTTHEA,-9,Break off
ACTTHEA,-7,Legal skip
ACTTHEA,-5,Not applicable
ACTTHEA,-3,Interviewer error
ACTTHEA,-2,Refuse to answer
ACTTHEA,-1,Don't know
ACTTHEA,0,No
ACTTHEA,1,Yes
ACTRESDT,-9,Break off
ACTRESDT,-7,Legal skip
ACTRESDT,-5,Not applicable
ACTRESDT,-3,Interviewer error
ACTRESDT,-2,Refuse to answer
ACTRESDT,-1,Don't know
ACTRESDT,0,No
ACTRESDT,1,Yes
ACTCHORE,-9,Break off
ACTCHORE,-7,Legal skip
ACTCHORE,-5,Not applicable
ACTCHORE,-3,Interviewer error
ACTCHORE,-2,Refuse to answer
ACTCHORE,-1,Don't know
ACTCHORE,0,No
ACTCHORE,1,Yes
ACTCLEAN,-9,Break off
ACTCLEAN,-7,Legal skip
ACTCLEAN,-5,Not applicable
ACTCLEAN,-3,Interviewer error
ACTCLEAN,-2,Refuse to answer
ACTCLEAN,-1,Don't know
ACTCLEAN,0,No
ACTCLEAN,1,Yes
ACTSPET,-9,Break off
ACTSPET,-7,Legal skip
ACTSPET,-5,Not applicable
ACTSPET,-3,Interviewer error
ACTSPET,-2,Refuse to answer
ACTSPET,-1,Don't know
ACTSPET,0,No
ACTSPET,1,Yes
RATEHAP,-9,Break off
RATEHAP,-7,Legal skip
RATEHAP,-3,Interviewer error
RATEHAP,-2,Refuse to answer
RATEHAP,-1,Don't know
RATEHAP,1,Extremely unhappy
RATEHAP,10,Extremely happy
GALLTRU,-9,Break off
GALLTRU,-7,Legal skip
GALLTRU,-3,Interviewer error
GALLTRU,-2,Refuse to answer
GALLTRU,-1,Don't know
GALLTRU,1,You can't be too careful
GALLTRU,10,Most people can be trusted
HLTHRAT,-9,Break off
HLTHRAT,-7,Legal skip
HLTHRAT,-3,Interviewer error
HLTHRAT,-2,Refuse to answer
HLTHRAT,-1,Don't know
HLTHRAT,1,Very poor
HLTHRAT,2,Poor
