COUNTRY,Country code,country
ID,Case ID,
RESPONSE,Response status,res
STRATUM,Stratum,stratum
RESPSEX,Respondent's sex,sex
RESPAGE,Respondent's age,age
ACTPBLM,Activities during last 6 months:  Attended a public meeting,q1
ACTMEDIA,"Activities during last 6 months:  Written a letter/called a newspaper, TV/radio",q1
ACTINTNT,Activities during last 6 months:  Made a comment in the Internet,q1
ACTREST,Activities during last 6 months:  Went to a restaurant,q1
ACTCHAR,Activities during last 6 months:  Made a contribution to a charity,q1
ACTVLNT,Activities during last 6 months:  Volunteered without compensation,q1
ACTDNCH,Activities during last 6 months:  Donated money to a church / mosque,q1
ACTTHEA,Activities during last 6 months:  Went to a theatre / cinema,q1
ACTRESDT,Activities during last 6 months:  Helped someone to resolve a dispute,q1
ACTCHORE,Activities during last 6 months:  Helped a neighbor/friend with HH chores,q1
ACTCLEAN,Activities during last 6 months:  Cleaned/helped to clean public space,q1
ACTSPET,"Activities during last 6 months:  Signed a petition, including online petitions",q1
RATEHAP,How happy would you say you are?,n1
GALLTRU,Most people can be trusted?,n2
HLTHRAT,How would you rate your health?,n3
NUMCIGW,How many cigarettes do you smoke per week?,n4
REGEXCER,"Are you currently exercising on a regular basis, for at least 2 hours per week?",n5
DISCPRPR,Frequency of discussing private problems with close relatives and friends,n6
BUSINUSA,Approval of doing business with Americans,n7
BUSINARM,Approval of doing business with Armenians,n7
BUSINAZE,Approval of doing business with Azerbaijanis,n7
BUSINEUR,Approval of doing business with Europeans,n7
BUSINGEO,Approval of doing business with Georgians,n7
BUSINIRA,Approval of doing business with Iranians,n7
BUSINJEW,Approval of doing business with Jews,n7
BUSINKUR,"Approval of doing business with Kurds, Yezidis",n7
BUSINRUS,Approval of doing business with Russians,n7
BUSINTUR,Approval of doing business with Turks,n7
BUSINABK,Approval of doing business with Abkhazians,n7
BUSINOSS,Approval of doing business with Ossetians,n7
BUSINARG,Approval of doing business with Armenians living in Georgia,n7
BUSINAZG,Approval of doing business with Azerbaijanis living in Georgia,n7
BUSINMOL,Approval of doing business with Molokans,n7
MARWUSA,Approval of women marrying  Americans,n8
MARWARM,Approval of women marrying  Armenians,n8
MARWAZE,Approval of women marrying  Azerbaijanis,n8
MARWEUR,Approval of women marrying  Europeans,n8
MARWGEO,Approval of women marrying  Georgians,n8
MARWIRA,Approval of women marrying  Iranians,n8
MARWJEW,Approval of women marrying  Jews,n8
MARWKUR,"Approval of women marrying  Kurds, Yezidis",n8
MARWRUS,Approval of women marrying  Russians,n8
MARWTUR,Approval of women marrying  Turks,n8
MARWABK,Approval of women marrying  Abkhazians,n8
MARWOSS,Approval of women marrying  Ossetians,n8
MARWARG,Approval of women marrying  Armenians living in Georgia,n8
MARWAZG,Approval of women marrying  Azerbaijanis living in Georgia,n8
MARWMOL,Approval of women marrying Molokans,n8
FAMCLAB,Have family member or close relative currently living abroad?,n9
CLFRDAB,Have any close friends currently living abroad?,n10
FATEINLF,Perception of fatalism,n11
LIFESAT,Overall life satisfaction,n12
EXPREPN,Expectation: Close people will help repair apartment/house,n13
EXPILL,Expectation: Close people take care when ill,n13
EXPMON,Expectation: Close people lend money for a month for usual expenses,n13
JUSDVRS,Justification: Getting a divorce,n14
JUSABOR,Justification: Having an abortion,n14
JUSSPOUS,Justification: Cheating on one's spouse,n14
TRUGOCH,Level of trust in Georgian Orthodox church,n15
EMPLSIT,Primary activity or situation,j1
UNEMYRS,Year since unemployed,j2
INTSTJOB,Interested in a job?,j3
LOOKJOB,Looking for a job during the past 4 weeks,j4
JOBSTART,Able to start working within the next 14 days,j5
WORKTYP,Status and type of primary workplace,j6
WORKYRS,Year from which employed at primary workplace,j7
WORKSEC,Primary employment sector,j8
JOBDESC,Which of the following best describes the job you do?,j9
JOBSATFN,Overall job satisfaction,j10
WORKVAL,I feel valued at work,j11
FAIRCOM,I am fairly compensated,j11
JBNEEDED,I am doing something that many people need,j11
PERSINC,Personal income last month,j12
SAVPERS,Do you have any personal savings?,j13
DEBTPERS,Do you have any personal debts?,j14
OWEMON,Does anybody owe you money?,j15
BANKACC,Do you have a bank account or a bank card?,j16
NEWHHJOB,Anyone in the HH started a new job in the last 12 months?,j17
JOBLOST,Anyone in the HH lost job in the last 12 month?,j18
WORKRLT,Done work for your family's or close relatives' business?,j19
GETJOBF,The most important factor for getting a good job,j20
POLDIRN,Direction in which the country's domestic politics are going,p1
QUALINF,How well journalists in your country inform the population,p2
ROTCODE,Rotation code,p3rt
TRUHLTH,Trust - Healthcare system,p3
TRUBANK,Trust - Banks,p3
TRUEDUC,Trust - Educational system,p3
TRUSADC,Trust - State Students Admisstions Committee,p3
TRUARMY,Trust - Army,p3
TRUCRTS,Trust - Court system,p3
TRUNGOS,Trust - NGOs,p3
TRUPARL,Trust - Parliament,p3
TRUEXEC,Trust - Executive government,p3
TRUPRES,Trust - President,p3
TRUPOLI,Trust - Police,p3
TRUPPS,Trust - Political parties,p3
TRUMEDI,Trust - Media,p3
TRULOCG,Trust - Local government,p3
TRURELI,Trust - Religious institutions respondent belongs to,p3
TRUOMB,Trust - Ombudsman,p3
TRUSTEU,Trust - EU,p3
TRUSTUN,Trust - UN,p3
IMPISS1,Most important issue facing the country,p4
IMPISS2,Second most important issue facing the country,p5
DISCPOL,How often do you discuss politics/current events with friends/close relatives?,p6
FAIRTRT,People are treated fairly by the government,p7
FREESPK,People have the right to openly say what they think,p8
GOVTROL,Government should be like a parent VS Government should be like an employee,p9
OWNRSHP,Private ownership of business VS Government ownership of business,p10
OBJCOUR,Court system favors some citizens VS treats all equally,p11
PROTEST,People should VS People should not participate in protest actions,p12
VOTPRCP,Would you participate in presidential elections next Sunday?,p13
VOTLELE,Did you vote in the last national elections?,p14
ELCOND,Fairness of the most recent national elections,p15
ICITLAW,Important for a good citizen - always obey laws,p16
ICITGOV,Important for a good citizen - support the government on every occasion,p16
ICITVOTE,Important for a good citizen - vote in elections,p16
ICITTRAD,Important for a good citizen - follow traditions,p16
IMPGCVW,Important for a good citizen - do volunteer work,p16
ICITHELP,Important for a good citizen - support people who are worse off,p16
ICITOPP,Important for a good citizen - be critical towards the government,p16
CNTRDEM,How much of a democracy is country today?,p17
ATTDEM,Attitude towards democracy,p18
NATOSUPP,Support of country's membership in NATO,p19
EUSUPP,Support of country's membership in EU,p20
EECSUPP,Support of country's membership in Eurasian Economic Community,p21
MAINFRN,Main friend of the country,p22p23
MAINENEM,Main enemy of the country,p22p23
ETHNIC,Respondent's ethnicity,d1
PROUDETH,How proud or how not proud are you to be part of this ethnic group?,d2
EDUYRS,Years of formal education you completed,d3
RESPEDU,Highest level of education you have achieved,d4
RFAEDUC,Highest level of education your father has achieved,d5
RMOEDUC,Highest level of education your mother has achieved,d6
KNOWRUS,Knowledge of Russian,d7
KNOWENG,Knowledge of English,d7
KNOWOTH,Knowledge of other foreign language,d7
COMPABL,Knowledge of computer,d7
FLMANDSC,Which foreign language should be mandatory at schools?,d8
UNIVADM,What is the best way to organize admissions to the universities in your country?,d9
FRQINTR,Frequency of internet usage,d10
NOINTWHY,Main reason for not using internet,d11
INTACEM,Most frequent internet activities - Receive / send emails,d12
INTASCNA,Most frequent internet activities - Use social networking sites,d12
INTASKY,Most frequent internet activities - Use Skype,d12
INTAIMSG,Most frequent internet activities - Use instant messenger (EXCEPT Skype),d12
INTACFD,Most frequent internet activities - Engage in forum discussions,d12
INTACBL,Most frequent internet activities - Write / read other's blogs,d12
INTACIN,Most frequent internet activities - Search for information,d12
INTACSH,Most frequent internet activities - Shop,d12
INTACNW,Most frequent internet activities - Read / listen to / watch the news,d12
INTACEN,Most frequent internet activities - Download / Listen/watch music/videos,d12
INTACGM,Most frequent internet activities - Play online games,d12
