"","x"
"KindNo_A","Kindergarten code"
"Kindergarten","Kindergarten name"
"RegNo","Region code"
"Region","Region"
"RaiNo","Raion code"
"Raion","Raion"
"TemiNo","Temi code"
"Temi","Temi"
"SatNo_T","Village code"
"Settlement","Village"
"Address","Kindergarten address"
"TelCityCode","Landline telephone code"
"TelCity","Landline telephone number"
"TelMobile","Mobile telephone number"
"ResName","Respondent name"
"ResPos","Respondent position"
"DirName","Manager/Director name"
"IntName","Interviewer name"
"Q1","Year the kindergarten started operation"
"Q2","The legal status of the preschool facility"
"Q2_O","Other (text)"
"Q3Start","Hours of work: starting time"
"Q3End","Hours of work: finishing time"
"Q4","Are parents allowed to bring/take children at the time convinient for them?"
"Q5","Management body of kindergarten"
"Q5_O","Other (text)"
"Q6_R1_1","Preschool education facility is responsible for creation of the budget of the preschool facility"
"Q6_R1_2","Management body of preschool education facility is responsible for creation of the budget of the preschool facility"
"Q6_R1_3","Local government(Gamgeoba, Sakrebulo, Mayor office) is responsible for creation of the budget of the preschool facility"
"Q6_R1_4","Other institution is responsible for creation of the budget of the preschool facility"
"Q6_R1_O","Other institution (text)"
"Q6_R2_1","Preschool education facility is responsible for registration of children admission  "
"Q6_R2_2","Management body of preschool education facility is responsible for registration of children admission  "
"Q6_R2_3","Local government(Gamgeoba, Sakrebulo, Mayor office) is responsible for registration of children admission  "
"Q6_R2_4","Other institution is responsible for registration of children admission  "
"Q6_R2_O","Other institution (text)"
"Q6_R3_1","Preschool education facility is responsible for setting up the parents contribution"
"Q6_R3_2","Management body of preschool education facility is responsible for setting up the parents contribution"
"Q6_R3_3","Local government(Gamgeoba, Sakrebulo, Mayor office) is responsible for setting up the parents contribution"
"Q6_R3_4","Other institution is responsible for setting up the parents contribution"
"Q6_R3_O","Other institution (text)"
"Q6_R4_1","Preschool education facility is responsible for setting up fee waivers"
"Q6_R4_2","Management body of preschool education facility is responsible for setting up fee waivers"
"Q6_R4_3","Local government(Gamgeoba, Sakrebulo, Mayor office) is responsible for setting up fee waivers"
"Q6_R4_4","Other institution is responsible for setting up fee waivers"
"Q6_R4_O","Other institution (text)"
"Q6_R5_1","Preschool education facility is responsible for elaborating of learning-educational programs/plans "
"Q6_R5_2","Management body of preschool education facility is responsible for elaborating of learning-educational programs/plans "
"Q6_R5_3","Local government(Gamgeoba, Sakrebulo, Mayor office) is responsible for elaborating of learning-educational programs/plans "
"Q6_R5_4","Other institution is responsible for elaborating of learning-educational programs/plans "
"Q6_R5_O","Other institution (text)"
"Q7_1","Methodological support of kindergartens is functions of the management body"
"Q7_2","Further development/improvement of human resources/staff capacity building is functions of the management body"
"Q7_3","Providing different standards is functions of the management body"
"Q7_4","Kindergartens technical support-data processing is functions of the management body"
"Q7_5","Assessment, monitoring and analyses of the early learning process is functions of the management body"
"Q8","Does your municipality or early learning union/association have a strategic document on development of preschool/early learning sector?"
"Q9","Does the administration of your kindergarten deliver any information to the preschool education union or other public entity annually or more frequently? "
"Q10_R1_1","The administration of the kindergarten deliveres financial data to management body of preschool education facility management body of preschool education facility"
"Q10_R1_2","The administration of the kindergarten deliveres financial data to local government (Gamgeoba, Sakrebulo, Mayor office) local government (Gamgeoba, Sakrebulo, Mayor office)"
"Q10_R1_3","The administration of the kindergarten deliveres financial data to other public entities other public entities"
"Q10_R1_O","Other (text)"
"Q10_R2_1","The administration of the kindergarten deliveres information on total number of children to management body of preschool education facility"
"Q10_R2_2","The administration of the kindergarten deliveres information on total number of children to local government (Gamgeoba, Sakrebulo, Mayor office)"
"Q10_R2_3","The administration of the kindergarten deliveres information on total number of children to other public entities"
"Q10_R2_O","Other (text)"
"Q10_R3_1","The administration of the kindergarten deliveres various information about children to management body of preschool education facility"
"Q10_R3_2","The administration of the kindergarten deliveres various information about children to local government (Gamgeoba, Sakrebulo, Mayor office)"
"Q10_R3_3","The administration of the kindergarten deliveres various information about children to other public entities"
"Q10_R3_O","Other (text)"
