SMP_wave,1,First wave
SMP_wave,2,Second wave
SMP_wave,3,Focus group
Region,1, aWara 
Region,2, guria 
Region,3, imereTi 
Region,4, kaxeTi 
Region,5, mcxeTa-mTianeTi 
Region,6, qvemo qarTli 
Region,7," raWa,svaneTi "
Region,8, samcxe-javaxeTi 
Region,9," samegrelo, z.svaneTi "
Region,10, Sida qarTli 
Region,11, Tbilisi 
Urban_Rural,1,City
Urban_Rural,2,village
Urban_Rural,3,Capital
EROVNEBA,1, Georgian 
EROVNEBA,2, Armenian 
EROVNEBA,3, Azerbaijanian 
EROVNEBA,4, Other 
erovneba_rec,1,Geo
erovneba_rec,2,Other
A4,1, It is not problematic 
A4,2, It is insignificant problem  
A4,3, More or less problematic 
A4,4, It is a serious problem 
A4,5, Dont know 
B4,1, It is not problematic 
B4,2, It is insignificant problem  
B4,3, More or less problematic 
B4,4, It is a serious problem 
B4,5, Dont know 
C3,1, It is not problematic 
C3,2, It is insignificant problem  
C3,3, More or less problematic 
C3,4, It is a serious problem 
C3,5, Dont know 
D4,1, It is not problematic 
D4,2, It is insignificant problem  
D4,3, More or less problematic 
D4,4, It is a serious problem 
D4,5, Dont know 
D5.2,1, Parents 
D5.2,2, Other members of a family 
D5.2,3, Family acquaintances and/or friends  
D5.2,4, Strangers  
D5.2,5, A person with psychological problems 
D5.2,6, Immoral Person 
D5.2,7, Illitarate person 
D5.3,1, Parents 
D5.3,2, Other members of a family 
D5.3,3, Family acquaintances and/or friends  
D5.3,4, Strangers  
D5.3,5, A person with psychological problems 
D5.3,6, Immoral Person 
D5.3,7, Illitarate person 
D5.4,1, Parents 
D5.4,2, Other members of a family 
D5.4,3, Family acquaintances and/or friends  
D5.4,4, Strangers  
D5.4,5, A person with psychological problems 
D5.4,6, Immoral Person 
D5.4,7, Illitarate person 
E6,1," Yes, permanently "
E6,2," Yes, sometimes  "
E6,3," Yes, but I can recall only 1 or 2 cases "
E6,4," No, never "
E25,1, Totally disagree 
E25,2, Disagree 
E25,3, Neither agree nor disagree  
E25,4, Agree 
E25,5, Totally agree 
E26,1, Totally disagree 
E26,2, Disagree 
E26,3, Neither agree nor disagree  
E26,4, Agree 
E26,5, Totally agree 
G1.1,1, No one  
G1.1,2, Neighbors/society members  
G1.1,3, Parent or other family members/friends of family  
G1.1,4," School, kindergarten staff member      "
G1.1,5," Social services, social workers  "
G1.1,6, Police  
G1.1,7, Healthcare specialists 
G1.1,8, Church/religious organizations    
G1.1,9, Public Defender/ombudsman   
G1.2,1, No one  
G1.2,2, Neighbors/society members  
G1.2,3, Parent or other family members/friends of family  
G1.2,4," School, kindergarten staff member      "
G1.2,5," Social services, social workers  "
G1.2,6, Police  
G1.2,7, Healthcare specialists 
G1.2,8, Church/religious organizations    
G1.2,9, Public Defender/ombudsman   
G1.3,1, No one  
G1.3,2, Neighbors/society members  
G1.3,3, Parent or other family members/friends of family  
G1.3,4," School, kindergarten staff member      "
G1.3,5," Social services, social workers  "
G1.3,6, Police  
G1.3,7, Healthcare specialists 
G1.3,8, Church/religious organizations    
G1.3,9, Public Defender/ombudsman   
G1.4,1, No one  
G1.4,2, Neighbors/society members  
G1.4,3, Parent or other family members/friends of family  
G1.4,4," School, kindergarten staff member      "
G1.4,5," Social services, social workers  "
G1.4,6, Police  
G1.4,7, Healthcare specialists 
G1.4,8, Church/religious organizations    
G1.4,9, Public Defender/ombudsman   
G1.5,1, No one  
G1.5,2, Neighbors/society members  
G1.5,3, Parent or other family members/friends of family  
G1.5,4," School, kindergarten staff member      "
G1.5,5," Social services, social workers  "
G1.5,6, Police  
G1.5,7, Healthcare specialists 
G1.5,8, Church/religious organizations    
G1.5,9, Public Defender/ombudsman   
G1.6,1, No one  
G1.6,2, Neighbors/society members  
G1.6,3, Parent or other family members/friends of family  
G1.6,4," School, kindergarten staff member      "
G1.6,5," Social services, social workers  "
G1.6,6, Police  
G1.6,7, Healthcare specialists 
G1.6,8, Church/religious organizations    
G1.6,9, Public Defender/ombudsman   
G1.7,1, No one  
G1.7,2, Neighbors/society members  
G1.7,3, Parent or other family members/friends of family  
G1.7,4," School, kindergarten staff member      "
G1.7,5," Social services, social workers  "
G1.7,6, Police  
G1.7,7, Healthcare specialists 
G1.7,8, Church/religious organizations    
G1.7,9, Public Defender/ombudsman   
G1.8,1, No one  
G1.8,2, Neighbors/society members  
G1.8,3, Parent or other family members/friends of family  
G1.8,4," School, kindergarten staff member      "
G1.8,5," Social services, social workers  "
G1.8,6, Police  
G1.8,7, Healthcare specialists 
G1.8,8, Church/religious organizations    
G1.8,9, Public Defender/ombudsman   
G2.2,1, No one  
G2.2,2, Neighbors/society members  
G2.2,3, Parent or other family members/friends of family  
G2.2,4," School, kindergarten staff member      "
G2.2,5," Social services, social workers  "
G2.2,6, Police  
G2.2,7, Healthcare specialists 
G2.2,8, Church/religious organizations    
G2.2,9, Public Defender/ombudsman   
G2.3,1, No one  
G2.3,2, Neighbors/society members  
G2.3,3, Parent or other family members/friends of family  
G2.3,4," School, kindergarten staff member      "
G2.3,5," Social services, social workers  "
G2.3,6, Police  
G2.3,7, Healthcare specialists 
G2.3,8, Church/religious organizations    
G2.3,9, Public Defender/ombudsman   
G2.4,1, No one  
G2.4,2, Neighbors/society members  
G2.4,3, Parent or other family members/friends of family  
G2.4,4," School, kindergarten staff member      "
G2.4,5," Social services, social workers  "
G2.4,6, Police  
G2.4,7, Healthcare specialists 
G2.4,8, Church/religious organizations    
G2.4,9, Public Defender/ombudsman   
G2.5,1, No one  
G2.5,2, Neighbors/society members  
G2.5,3, Parent or other family members/friends of family  
G2.5,4," School, kindergarten staff member      "
G2.5,5," Social services, social workers  "
G2.5,6, Police  
G2.5,7, Healthcare specialists 
G2.5,8, Church/religious organizations    
G2.5,9, Public Defender/ombudsman   
G2.6,1, No one  
G2.6,2, Neighbors/society members  
G2.6,3, Parent or other family members/friends of family  
G2.6,4," School, kindergarten staff member      "
G2.6,5," Social services, social workers  "
G2.6,6, Police  
G2.6,7, Healthcare specialists 
G2.6,8, Church/religious organizations    
G2.6,9, Public Defender/ombudsman   
G2.7,1, No one  
G2.7,2, Neighbors/society members  
G2.7,3, Parent or other family members/friends of family  
G2.7,4," School, kindergarten staff member      "
G2.7,5," Social services, social workers  "
G2.7,6, Police  
G2.7,7, Healthcare specialists 
G2.7,8, Church/religious organizations    
G2.7,9, Public Defender/ombudsman   
G2.8,1, No one  
G2.8,2, Neighbors/society members  
G2.8,3, Parent or other family members/friends of family  
G2.8,4," School, kindergarten staff member      "
G2.8,5," Social services, social workers  "
G2.8,6, Police  
G2.8,7, Healthcare specialists 
G2.8,8, Church/religious organizations    
G2.8,9, Public Defender/ombudsman   
G3.1,1, No one  
G3.1,2, Neighbors/society members  
G3.1,3, Parent or other family members/friends of family  
G3.1,4," School, kindergarten staff member      "
G3.1,5," Social services, social workers  "
G3.1,6, Police  
G3.1,7, Healthcare specialists 
G3.1,8, Church/religious organizations    
G3.1,9, Public Defender/ombudsman   
G3.2,1, No one  
G3.2,2, Neighbors/society members  
G3.2,3, Parent or other family members/friends of family  
G3.2,4," School, kindergarten staff member      "
