"","x"
"Number",""
"SMP_wave","Sampling wave"
"Region",""
"Cluster",""
"Urban_Rural",""
"EROVNEBA",""
"erovneba_rec",""
"A1"," Threat towards a child is a form of psychological violence "
"A2"," Verbal humiliation of a child is a form of psychological violence "
"A3"," Cursing a child is a form of psychological violence "
"A4"," how problematic is the issue of psychological violence against children in Georgia? "
"B1"," Beating a child even without using any item, like belt, stick, etc. is a form of physical violence. "
"B2"," Torturing a child is a form of physical violence. "
"B3"," Causing physical injuries to a child is a form of physical violence. "
"B4"," how problematic is the issue of physical violence against children in Georgia? "
"C1"," Being careless towards emotional and spiritual needs of a child is neglect "
"C2"," Being inattentive to possible risks of child safety is a form of child neglect. "
"C3"," how problematic is the issue of child neglect in Georgia? "
"D1"," Sexual touching of a child is a form of sexual abuse. "
"D2"," Making a child to expose his/her genitals is a form of sexual abuse "
"D3"," Sexual relationship of adult with minor up to "
"D4"," how problematic is the issue of child sexual abuse in Georgia? "
"D5.1"," mainly who are the people who carry out sexual abuse on children? "
"D5.2"," mainly who are the people who carry out sexual abuse on children? "
"D5.3"," mainly who are the people who carry out sexual abuse on children? "
"D5.4"," mainly who are the people who carry out sexual abuse on children?"
"E1"," till what age is a girl considered to be a child? "
"E2"," till what age is a boy considered to be a child? "
"E3"," what is a minimum age for a girl to get married? "
"E4"," what is a minimum age for a boy to get married? "
"E5"," Was the family environment where you were brought up free from domestic violence? "
"E6"," Did your parents use method of physical punishment while raising you? "
"E7"," Do you, did you or will you use method of physical punishment while raising your child? "
"E8"," It is all right when children are afraid of their parents, as in this case they become more obedient and have more respect to adults. "
"E9"," Harsh method of parenting strengthens and prepares him/her to solve future difficulties in life more effectively. "
"E10"," Children are hurt when parents shout and argue in their presence. "
"E11"," Using physical punishment is acceptable every time, when a parent thinks that this will have a positive outcome. "
"E12"," till what age is it reasonable to use physical punishment towards girls? "
"E13"," till what age is it reasonable to use physical punishment towards boys? "
"E14"," Using physical punishment towards boys is more acceptable than towards girls. "
"E15"," The parents, who do not use physical punishment, spoil their children. "
"E16"," Each child belongs to his/her parents and only they are capable of making any kind of decision regarding their children. "
"E17"," Children study better by means of examples, rather than punishment method. "
"E18"," Children need regular medical supervision. "
"E19"," Children’s hygiene issues should always be under supervision. "
"E20"," Child’s clothes should always be proper to season. "
"E21"," Girls should regularly go and should not miss school due to family issues. "
"E22"," Boys should regularly go and should not miss school due to family issues. "
"E23"," Children should go to kindergarten. "
"E24"," Education obtained in kindergarten may have a positive influence on child’s future success at school. "
"E25"," High quality education obtained in kindergarten should be affordable for every child aged 3 -5. "
"E26"," Children with disabilities need more support from society. "
"E27"," Children with disabilities should be brought up far from their families in order to protect their families from negative attitudes of society. "
"E28"," Sexual contact between adult and child is unacceptable in any case. "
"E29"," 6 year old minors should have information about reproductive/woman’s health. "
"E30"," Sometimes women ignore the fact that their partners have sexual contact with children in their family. "
"F1"," facts of violence and neglect against children for the last "
"F2.1"," The children, who suffer from neglect/violence from their families, can count on assistance from  - School "
"F2.2"," The children, who suffer from neglect/violence from their families, can count on assistance from  - Kindergarten "
"F2.3"," The children, who suffer from neglect/violence from their families, can count on assistance from  - Neighbors  "
"F2.4"," The children, who suffer from neglect/violence from their families, can count on assistance from  - Social services, social workers  "
"F2.5"," The children, who suffer from neglect/violence from their families, can count on assistance from  - Police "
"F2.6"," The children, who suffer from neglect/violence from their families, can count on assistance from  - Court "
"F2.7"," The children, who suffer from neglect/violence from their families, can count on assistance from  - Hospitals, other healthcare institutions and/or professionals  "
"F2.8"," The children, who suffer from neglect/violence from their families, can count on assistance from  - Church/other religious institutions  "
"F2.9"," The children, who suffer from neglect/violence from their families, can count on assistance from  - Public Defender’s Office/ombudsman  "
"F2.10"," The children, who suffer from neglect/violence from their families, can count on assistance from  - Organizations working specifically with children  "
"F3"," Children with disabilities can count on assistance from society. "
"F4.1"," evaluate according to their capability or desire to help the children which suffer from neglect/violence from their parents. - School, kindergarten"
"F4.2"," evaluate according to their capability or desire to help the children which suffer from neglect/violence from their parents. - Social service, social worker  "
"F4.3"," evaluate according to their capability or desire to help the children which suffer from neglect/violence from their parents. - Police  "
"F4.4"," evaluate according to their capability or desire to help the children which suffer from neglect/violence from their parents. - Hospitals, other healthcare institutions and/or professionals  "
"F4.5"," evaluate according to their capability or desire to help the children which suffer from neglect/violence from their parents. - Church/religious organizations  "
"F4.6"," evaluate according to their capability or desire to help the children which suffer from neglect/violence from their parents. - Society  "
"F4.7"," evaluate according to their capability or desire to help the children which suffer from neglect/violence from their parents. - Public Defender  "
"F5.1"," at what age do girls become victims of the above-mentioned domestic violence "
"F5.2"," at what age do girls become victims of the above-mentioned domestic violence "
"F5.3"," at what age do girls become victims of the above-mentioned domestic violence "
"F6.1"," at what age do boys become victims of the above-mentioned domestic violence "
"F6.2"," at what age do boys become victims of the above-mentioned domestic violence "
"F6.3"," at what age do boys become victims of the above-mentioned domestic violence "
"F7"," Children with disabilities become victims of the above-mentioned domestic violence more frequently. "
