"","x"
"N","Number of quesrionnaire"
"Interv_code","Code of inverviewers"
"Reg","the region of sampling"
"start_time","Interview start time"
"fin_time","Interview end time"
"date","the date of the intervew"
"A1","emploiment status"
"A2","Do you have more than one employer?"
"A3","Do you have a valid contract with your employer(s)?"
"A3.1_1","How long is your current contract? years"
"A3.1_2","How long is your current contract? years"
"a3.1_dro_weli","How long is your current contract? years"
"A3.1_3","How long is your current contract? unlimited"
"A3.2","Do you feel the contract guarantees you the work (at least until the due-date)?"
"A3.3","Does your employment contract include a provision establishing the confidentiality of the amount of salary you earn?"
"A4","How many hours do you work in avarage in a week?"
"A4.1","Do you work full time or part time (among your main employer)?"
"A4.2","Would you like to work full-time? "
"A5","Do you go to work in the same city/town/village where you live?"
"A5.1","Where do you work?"
"A6","Do you work for a public or a private employer?"
"A7_zveli","What is the field of your work:"
"A8_zveli","What do you do atf your work:"
"a7","What is the field of your work:"
"a8","What do you do at your work"
"A9","Among your colleagues are there mostly women or men?"
"A10","Would you like to have more women or men?"
"A11","In your work do you cooperate/collaborate (for example with co-partners, clients, patients, students, etc) more with men or women?"
"A12","What is the gender of your direct manager?"
"A13","Are you or have you ever been a member of a trade union or similar organisation? If yes: is that currently or only previously?"
"B1","Have you ever participated in a job interview?"
"B1.1","How many times have you been in a job interview?"
"B1.2_1","In a job interview have you been asked questions concerning: your merital status"
"B1.2_2","In a job interview have you been asked questions concerning: Your plans to get married"
"B1.2_3","In a job interview have you been asked questions concerning: The number of children"
"B1.2_4","In a job interview have you been asked questions concerning:Your plans to have children"
"B1.2_5","In a job interview have you been asked questions concerning: Doctoral proof that you are not pregnant"
"B1.2_6","In a job interview have you been asked questions concerning: other"
"B2","How did you get hired for the job you are working currently?"
"B3","Have you ever been turned down for a job you applied for?"
"B3.1","Did you get any feedback why you did not get the job you applied for?"
"B3.2_1","Please specify what was the formal reason? Too high expectations for salary"
"B3.2_2","Please specify what was the formal reason? For being pregnant"
"B3.2_3","Please specify what was the formal reason? Due to my gender"
"B3.2_4","Please specify what was the formal reason? Due to my age"
"B3.2_5","Please specify what was the formal reason? Due to my care respondibilities"
"B3.2_6","Please specify what was the formal reason? Due to my plans to have children"
"B3.2_7","Please specify what was the formal reason? Due to the lack of experience"
"B3.2_8","Please specify what was the formal reason? Due to the lack of my skills"
"B3.2_9","Please specify what was the formal reason? Due to my education (for example the level of education was too low/high or the vocation/subject whereeducation received wasn'tright"
"B3.2_10","Please specify what was the formal reason? Due to my difference of opinions"
"B3.2_11","Please specify what was the formal reason? Due to my sexual orientation"
"B3.2_12","Please specify what was the formal reason? Due to my merital status"
"B3.2_13","Please specify what was the formal reason? Due to my appearance"
"B3.2_14","Please specify what was the formal reason? other"
"B3.3_1","What do you think was the reason for not getting the job you applied for? I dont know"
"B3.3_2","What do you think was the reason for not getting the job you applied for? Too high expectations for salary"
"B3.3_3","What do you think was the reason for not getting the job you applied for? Due to the lack of experience"
"B3.3_4","What do you think was the reason for not getting the job you applied for? Due to the lack of my skills"
"B3.3_5","What do you think was the reason for not getting the job you applied for? Due to my education (for example the level of education was too low/too high or the vocation/subject where education received wasn’t right)"
"B3.3_6","What do you think was the reason for not getting the job you applied for? Due to my difference of opinions"
"B3.3_7","What do you think was the reason for not getting the job you applied for? For being pregnant"
"B3.3_8","What do you think was the reason for not getting the job you applied for? Due to my gender"
"B3.3_9","What do you think was the reason for not getting the job you applied for? Due to my age"
"B3.3_10","What do you think was the reason for not getting the job you applied for? Due to my care responsibilities"
"B3.3_11","What do you think was the reason for not getting the job you applied for? Due to my sexual orientation"
"B3.3_12","What do you think was the reason for not getting the job you applied for? Due to my merital status"
"B3.3_13","What do you think was the reason for not getting the job you applied for? Due to my plans to have children"
"B3.3_14","What do you think was the reason for not getting the job you applied for? other"
"B4","When looking for a job, have you experienced, that the job advertisement you were interested in, had some criteria not related to potential workers’ skills, education, experience, etc. "
"B4.1_1","Please specify, what were the criterias? Only women can apply"
"B4.1_2","Please specify, what were the criterias? Only men can apply"
"B4.1_3"," Please specify, what were the criterias? Only people in certain age can apply"
"B4.1_4","Please specify, what were the criterias? other"
"B5_1","What channels have you used the most for finding a job? Internet recruitment sites"
"B5_2","What channels have you used the most for finding a job? Friends/family/acquaintances"
"B5_3","What channels have you used the most for finding a job? Newspaper message board"
"B5_4","What channels have you used the most for finding a job? Recruitment companies"
"B5_5","What channels have you used the most for finding a job? other"
"B6_1","For the job where you are working currently, what channels did you use for finding the job? I was promoted in my company/organization"
"B6_2","For the job where you are working currently, what channels did you use for finding the job? Internet recruitment sites"
"B6_3","For the job where you are working currently, what channels did you use for finding the job? Friends/family/acquaintances"
"B6_4","For the job where you are working currently, what channels did you use for finding the job? Newspaper message board"
"B6_5","For the job where you are working currently, what channels did you use for finding the job? Recruitment companies"
"B6_6","For the job where you are working currently, what channels did you use for finding the job? Other"
"C1","In your current work, have you been promoted career wise?"
"C1.1","How were you promoted?"
"C1.2","Have you had opportunities to ran for/ apply for a higher/other position offered by your employer during last 2 years?"
"C1.3","Did you apply for the higher/other position available?"
"C1.3.1_1","If you did not get the applied job, what do you think was the reason? My skills"
"C1.3.1_2","If you did not get the applied job, what do you think was the reason? My gender "
"C1.3.1_3","If you did not get the applied job, what do you think was the reason? The employer had a personal preference"
"C1.3.1_4","If you did not get the applied job, what do you think was the reason? There was a better candidate"
"C1.3.1_5","If you did not get the applied job, what do you think was the reason? My age"
"C1.3.1_6","If you did not get the applied job, what do you think was the reason? My merital status"
"C1.3.1_7","If you did not get the applied job, what do you think was the reason? Sexual orientation"
"C1.3.1_8","If you did not get the applied job, what do you think was the reason? Educational level"
"C1.3.1_9","If you did not get the applied job, what do you think was the reason? Lack of experience"
"C1.3.1_10","If you did not get the applied job, what do you think was the reason? I don't know"
"C1.3.1_11","If you did not get the applied job, what do you think was the reason? Other"
"C1.3.2_1","Why didn’t you apply? I felt I would not meet the expectations for the job"
"C1.3.2_2","Why didn’t you apply? Due to my care responsibilities"
"C1.3.2_3","Why didn’t you apply? I was not interested in that position"
"C1.3.2_4","Why didn’t you apply? Too much responsibility in the job"
"C1.3.2_5","Why didn’t you apply? Other"
"C2","Do you feel that your employer has provided you enough work tasks, which would help you to prove yourself to the employer and help to get promoted career-wise?"
"C3","In your current work, have you been promoted pay wise?"
"C3.1","If yes, whose initiative it was "
"C3.2","Have you asked for paywise promotion?"
"C4","Have you had opportunities provided by your current employer to participate in training?"
"C4.1","Have  you gone to the training(s)?"
"C4.1.1","Why didn’t you go to the training? "
"C4.2","Would you have liked to participate in a training?"
"D1","Have you ever been fired?"
"D1.1","Have you been fired during last 2 years?"
"D1.2","Did you get any warnings that you might get fired?"
"D1.3","Did you get any feedback why you were fired?"
"D1.3.1_1","Please specify, what was the reason behind firing you (based on the employer’s feedback)? Bankruptcy of the company"
"D1.3.1_2","Please specify, what was the reason behind firing you (based on the employer’s feedback)? My age"
"D1.3.1_3","Please specify, what was the reason behind firing you (based on the employer’s feedback)? My gender"
"D1.3.1_4","Please specify, what was the reason behind firing you (based on the employer’s feedback)? My ethnic origin"
"D1.3.1_5","Please specify, what was the reason behind firing you (based on the employer’s feedback)? Disagreements with the employer"
"D1.3.1_6","Please specify, what was the reason behind firing you (based on the employer’s feedback)? I didn’t fulfil the expectations of the employer"
"D1.3.1_7","Please specify, what was the reason behind firing you (based on the employer’s feedback)? I got pregnant"
"D1.3.1_8","Please specify, what was the reason behind firing you (based on the employer’s feedback)? Having children"
"D1.3.1_9","Please specify, what was the reason behind firing you (based on the employer’s feedback)? Merital status"
"D1.3.1_10","Please specify, what was the reason behind firing you (based on the employer’s feedback)? My position was made redundant /eliminated"
"D1.3.1_11","Please specify, what was the reason behind firing you (based on the employer’s feedback)? My appearance"
"D1.3.1_12","Please specify, what was the reason behind firing you (based on the employer’s feedback)? Other"
"D1.3.2","Do you believe that it was the actual reason?"
"D1.3.3_1","In your opinion, what do you think was the reason behind firing you? Bankruptcy of the company"
"D1.3.3_2","In your opinion, what do you think was the reason behind firing you? My age"
"D1.3.3_3","In your opinion, what do you think was the reason behind firing you? My gender"
"D1.3.3_4","In your opinion, what do you think was the reason behind firing you? My ethnic origin"
"D1.3.3_5","In your opinion, what do you think was the reason behind firing you? Disagreements with the employer"
"D1.3.3_6","In your opinion, what do you think was the reason behind firing you? I didn’t fulfil the expectations of the employer"
"D1.3.3_7","In your opinion, what do you think was the reason behind firing you? I got pregnant"
"D1.3.3_8","In your opinion, what do you think was the reason behind firing you? Having children"
"D1.3.3_9","In your opinion, what do you think was the reason behind firing you? Merital status"
"D1.3.3_10","In your opinion, what do you think was the reason behind firing you? My position was made redundant /eliminated"
