"","x"
"CBYEAR","Year"
"COUNTRY","Country"
"ID","Case ID"
"STRATUM","Stratum"
"SUBSTRATUM","Substratum"
"V4","Number of all household members"
"V5","Number of adult household members"
"INTLANG","Interview language"
"RESPONSE","Response status"
"RESPSEX","Respondent's sex"
"RESPAGE","Respondent's age"
"ACTPBLM","Activities during last 6 months:  Attended a public meeting"
"ACTMEDIA","Activities during last 6 months:  Sent a letter/called a newspaper, TV or radio"
"ACTINTNT","Activities during last 6 months:  Made a comment online"
"ACTREST","Activities during last 6 months:  Went to a restaurant"
"ACTCHAR","Activities during last 6 months:  Made a contribution to a charity"
"ACTVLNT","Activities during last 6 months:  Volunteered without compensation"
"ACTSPOR","Activities during last 6 months:  Did sports/exercise/hiking"
"ACTCHUR","Activities during last 6 months:  Participated in a church choir"
"ACTDNCH","Activities during last 6 months:  Contributed to church/mosque"
"ACTTHEA","Activities during last 6 months:  Went to a theatre/cinema"
"ACTRESDT","Activities during last 6 months:  Helped to resolve a dispute"
"ACTCHORE","Activities during last 6 months:  Helped a neighbor/friend with household chores"
"ACTCLEAN","Activities during last 6 months:  Cleaned/helped to clean public space"
"RATEHAP","How happy would you say you are?"
"FEELTRUN","There are many people I can trust completely"
"FEELRLYN","There are plenty of people I can rely on"
"HLTHRAT","How would you rate your health?"
"DISCPRPR","How often do you discuss private problems with friends/close relatives?"
"FAMCLAB","Family member currently living abroad?"
"CLFRDAB","Close friends currently living abroad?"
"FATEINLF","Perception of fatalism?"
"LIFESAT","Overall life satisfaction"
"BUSINJEW","Approval of doing business with Jews"
"BUSINUSA","Approval of doing business with Americans"
"BUSINAZE","Approval of doing business with Azerbaijanis"
"BUSINGRE","Approval of doing business with Greeks"
"BUSINRUS","Approval of doing business with Russians"
"BUSINARM","Approval of doing business with Armenians"
"BUSINTUR","Approval of doing business with Turks"
"BUSINGEO","Approval of doing business with Georgians"
"BUSINKUR","Approval of doing business with Kurds, Yezidis"
"BUSINENG","Approval of doing business with English"
"BUSINABK","Approval of doing business with Abkhazians"
"BUSINOSS","Approval of doing business with Ossetians"
"BUSINARG","Approval of doing business with Armenians living in Georgia"
"BUSINAZG","Approval of doing business with Azerbaijanis living in Georgia"
"MARWJEW","Approval of women marrying Jews"
"MARWUSA","Approval of women marrying Americans"
"MARWAZE","Approval of women marrying Azerbaijanis"
"MARWGRE","Approval of women marrying Greeks"
"MARWRUS","Approval of women marrying Russians"
"MARWARM","Approval of women marrying Armenians"
"MARWTUR","Approval of women marrying Turks"
"MARWGEO","Approval of women marrying Georgians"
"MARWKUR","Approval of women marrying Kurds, Yezidis"
"MARWENG","Approval of women marrying English"
"MARWOSS","Approval of women marrying Ossetians"
"MARWABK","Approval of women marrying Abkhazians"
"MARWARG","Approval of women marrying Armenians living in Georgia"
"MARWAZG","Approval of women marrying Azerbaijanis living in Georgia"
"EXPREP","Expectation: Close people will help repair apartment/house"
"EXPILL","Expectation: Close people will take care when ill"
"EXPMON","Expectation: Close people will lend money for two weeks for usual expences"
"EMPLSIT","Primary activity or situation"
"UNEMYRS","Year since unemployed"
"INTSTJOB","Interested in a job"
"LOOKJOB","Looking for a job during the past 4 weeks"
"JOBSTART","Able to start working within the next 14 days"
"WORKTYP","Status and type of primary workplace"
"WORKYRS","Year from which employed at primary workplace"
"WORKSEC","Primary employment sector"
