"","x"
"DiaryID","Sinameurneobis unikaluri nomeri"
"UrbanRural","qalaq - sofeli"
"RegNo","regionis kodi"
"Weights_P","personaluri wona"
"MemberNo","respodentis nomeri"
"Res_C3","mimarTeba Sinameurneobis ufrosTan"
"Res_C4","sqesi"
"Res_C6","erovneba"
"Res_C7","ganaTlebis miRweuli done"
"Res_C8","ojaxuri mdgomareoba"
"Res_C9","droebiT wasuli"
"Res_C10","ra tipis saganmanaTleblo dawesebulebaSi dadis Sinameurneobis wevri?"
"Res_C11_1","gasuli 3 Tvis manZilze dadioda Tu ara Sinameurneobis wevri kursebze profesiis/ xelobis dasaufleblad"
"Res_C11_2","gasuli 3 Tvis manZilze dadioda Tu ara Sinameurneobis wevri kvalifikaciis asamaRlebel kursebze"
"Res_Age","asaki"
"Q1","icnobT Tu ara bavSvis uflebaTa konvencias?"
"Q2_1","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis sicocxlis kategoriaSi? - sicocxlis da gadarCenis ufleba;"
"Q2_2","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis sicocxlis kategoriaSi? - eqspluataciisagan dacvis ufleba;"
"Q2_3","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis sicocxlis kategoriaSi? - samedicino momsaxurebiT sargeblobis ufleba;"
"Q2_4","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis sicocxlis kategoriaSi? - Sexedulebebis Tavisuflad gamoxatvis ufleba;"
"Q2_5","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis sicocxlis kategoriaSi? - wyliTa da sanitaruli sistemiT usafrTxod sargeblobis ufleba;"
"Q2_6","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis sicocxlis kategoriaSi? - arc erTi CamoTvlilTagan;"
"Q2_7","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis sicocxlis kategoriaSi? - ar vici/miWirs pasuxis gacema"
"Q3_1","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis ganviTarebis kategoriaSi? - ganaTlebis ufleba;"
"Q3_2","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis ganviTarebis kategoriaSi? - sakuTari azris qonis ufleba;"
"Q3_3","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis ganviTarebis kategoriaSi? - saWiro informaciis miRebis ufleba;"
"Q3_4","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis ganviTarebis kategoriaSi? - individualuri ganviTarebis ufleba;"
"Q3_5","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis ganviTarebis kategoriaSi? - gonebrivi an/da fizikuri SesaZleblobebis srulad gamovlenis ufleba;"
"Q3_6","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis ganviTarebis kategoriaSi? - arc erTi CamoTvlilTagan;"
"Q3_7","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis ganviTarebis kategoriaSi? - ar vici/miWirs pasuxis gacema"
"Q4_1","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis dacvis kategoriaSi? - nebismieri saxis diskriminaciisagan dacvis ufleba;"
"Q4_2","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis dacvis kategoriaSi? - sicocxlis da gadarCenis ufleba;"
"Q4_3","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis dacvis kategoriaSi? - samedicino momsaxurebiT sargeblobis ufleba;"
"Q4_4","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis dacvis kategoriaSi? - eqspluataciisagan dacvis ufleba;"
"Q4_5","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis dacvis kategoriaSi? - omisa da gaWirvebisagan dacvis ufleba;"
"Q4_6","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis dacvis kategoriaSi? - arc erTi CamoTvlilTagan;"
"Q4_7","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis dacvis kategoriaSi? - ar vici/miWirs pasuxis gacema"
"Q5_1","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis monawileobis kategoriaSi? - sakuTari azris qonis ufleba;"
"Q5_2","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis monawileobis kategoriaSi? - Sexedulebebis Tavisuflad gamoxatvis ufleba;"
"Q5_3","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis monawileobis kategoriaSi? - ganaTlebis miRebis ufleba;"
"Q5_4","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis monawileobis kategoriaSi? - gonebrivi an/da fizikuri SesaZleblobebis srulad gamovlenis ufleba;"
"Q5_5","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis monawileobis kategoriaSi? - saWiro informaciis miRebis ufleba;"
