num,,
HHID,ojaxis #,
interv,,
regioni,regioni,regioni
raioni,raioni,raioni
sakrebul,sakrebul,sakrebul
sofeli,sofeli,sofeli
sheivso,Was the questionnaire filled in?,sheivso
a0_1,Respondent #,
a0_2,Respondent #,
a0_3,Respondent #,
a0_4,Respondent #,
a1_1,Relationship to the Household Head,a1_1
a1_2,Relationship to the Household Head,a1_2
a1_3,Relationship to the Household Head,a1_3
a1_4,Relationship to the Household Head,a1_4
a1_5,Relationship to the Household Head,a1_5
a1_6,Relationship to the Household Head,a1_6
a1_7,Relationship to the Household Head,a1_7
a1_8,Relationship to the Household Head,a1_8
a1_9,Relationship to the Household Head,a1_9
a1_10,Relationship to the Household Head,a1_10
a1_11,Relationship to the Household Head,a1_11
a1_12,Relationship to the Household Head,a1_12
a1_13,Relationship to the Household Head,a1_13
a1_14,Relationship to the Household Head,a1_14
a2_1,Age,
a2_2,Age,
a2_3,Age,
a2_4,Age,
a2_5,Age,
a2_6,Age,
a2_7,Age,
a2_8,Age,
a2_9,Age,
a2_10,Age,
a2_11,Age,
a2_12,Age,
a2_13,Age,
a2_14,Age,
a3_1,Sex,a3_1
a3_2,Sex,a3_2
a3_3,Sex,a3_3
a3_4,Sex,a3_4
a3_5,Sex,a3_5
a3_6,Sex,a3_6
a3_7,Sex,a3_7
a3_8,Sex,a3_8
a3_9,Sex,a3_9
a3_10,Sex,a3_10
a3_11,Sex,a3_11
a3_12,Sex,a3_12
a3_13,Sex,a3_13
a3_14,Sex,a3_14
a4_1,Marital status,a4_1
a4_2,Marital status,a4_2
a4_3,Marital status,a4_3
a4_4,Marital status,a4_4
a4_5,Marital status,a4_5
a4_6,Marital status,a4_6
a4_7,Marital status,a4_7
a4_8,Marital status,a4_8
a4_9,Marital status,a4_9
a4_10,Marital status,a4_10
a4_11,Marital status,a4_11
a4_12,Marital status,a4_12
a4_13,Marital status,a4_13
a4_14,Marital status,a4_14
a5_1,Faith,a5_1
a5_2,Faith,a5_2
a5_3,Faith,a5_3
a5_4,Faith,a5_4
a5_5,Faith,a5_5
a5_6,Faith,a5_6
a5_7,Faith,a5_7
a5_8,Faith,a5_8
a5_9,Faith,a5_9
a5_10,Faith,a5_10
a5_11,Faith,a5_11
a5_12,Faith,a5_12
a5_13,Faith,a5_13
a5_14,Faith,a5_14
a6_1,Nationality,a6_1
a6_2,Nationality,a6_2
a6_3,Nationality,a6_3
a6_4,Nationality,a6_4
a6_5,Nationality,a6_5
a6_6,Nationality,a6_6
a6_7,Nationality,a6_7
a6_8,Nationality,a6_8
a6_9,Nationality,a6_9
a6_10,Nationality,a6_10
a6_11,Nationality,a6_11
a6_12,Nationality,a6_12
a6_13,Nationality,a6_13
a6_14,Nationality,a6_14
a7_1,Does he/she have birth certificate and/or ID Card?,a7_1
a7_2,Does he/she have birth certificate and/or ID Card?,a7_2
a7_3,Does he/she have birth certificate and/or ID Card?,a7_3
a7_4,Does he/she have birth certificate and/or ID Card?,a7_4
a7_5,Does he/she have birth certificate and/or ID Card?,a7_5
a7_6,Does he/she have birth certificate and/or ID Card?,a7_6
a7_7,Does he/she have birth certificate and/or ID Card?,a7_7
a7_8,Does he/she have birth certificate and/or ID Card?,a7_8
a7_9,Does he/she have birth certificate and/or ID Card?,a7_9
a7_10,Does he/she have birth certificate and/or ID Card?,a7_10
a7_11,Does he/she have birth certificate and/or ID Card?,a7_11
a7_12,Does he/she have birth certificate and/or ID Card?,a7_12
a7_13,Does he/she have birth certificate and/or ID Card?,a7_13
a7_14,Does he/she have birth certificate and/or ID Card?,a7_14
a8_1,Does he/she have health insurance?,a8_1
a8_2,Does he/she have health insurance?,a8_2
a8_3,Does he/she have health insurance?,a8_3
a8_4,Does he/she have health insurance?,a8_4
a8_5,Does he/she have health insurance?,a8_5
a8_6,Does he/she have health insurance?,a8_6
a8_7,Does he/she have health insurance?,a8_7
a8_8,Does he/she have health insurance?,a8_8
a8_9,Does he/she have health insurance?,a8_9
a8_10,Does he/she have health insurance?,a8_10
a8_11,Does he/she have health insurance?,a8_11
a8_12,Does he/she have health insurance?,a8_12
a8_13,Does he/she have health insurance?,a8_13
a8_14,Does he/she have health insurance?,a8_14
a9_1_1,What is the type of this insurance,a9_1_1
a9_1_2,What is the type of this insurance,a9_1_2
a9_1_3,What is the type of this insurance,a9_1_3
a9_1_4,What is the type of this insurance,a9_1_4
a9_1_5,What is the type of this insurance,a9_1_5
a9_1_6,What is the type of this insurance,a9_1_6
a9_1_7,What is the type of this insurance,a9_1_7
a9_1_8,What is the type of this insurance,a9_1_8
